,N,Mean,SD
Age.1,2357.0,58.6,17.14
Temp,2281.0,37.13,3.33
OsSats,2277.0,93.69,7.05
Lympho,2234.0,1.52,5.97
WBC,2234.0,9.0,8.35
Plts,2234.0,242.16,107.3
Creatinine,2224.0,1.79,2.53
MAP,2234.0,89.02,13.91
Sodium,2204.0,137.94,7.23
ALT,2192.0,46.95,94.13
AST,2172.0,62.49,127.89
INR,2041.0,1.18,0.72
BUN,2034.0,26.84,28.5
Troponin,1963.0,0.04,0.12
CrctProtein,1867.0,11.46,10.69
Ddimer,1761.0,3.86,5.41
Glucose,1647.0,175.56,120.03
Ferritin,1608.0,1333.1,3161.78
Procalcitonin,1462.0,1.72,6.07
IL6,986.0,235.99,4008.91
